,ageRestriction,displayName,end,id,location,performance,popularity,series,start,status,type,uri,venue
3,,"Connla at Harbour Arts Centre (April 15, 2018)",,32654584,"{'city': 'Irvine, UK', 'lat': 55.6082318, 'lng': -4.6830323}","[{'displayName': 'Connla', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Connla', 'identifier': [], 'uri': 'http://www.songkick.com/artists/8768064-connla?utm_source=47927&utm_medium=partner', 'id': 8768064}, 'id': 62854679}]",1.6e-05,,"{'datetime': '2018-04-15T19:30:00+0100', 'time': '19:30:00', 'date': '2018-04-15'}",ok,Concert,http://www.songkick.com/concerts/32654584-connla-at-harbour-arts-centre?utm_source=47927&utm_medium=partner,"{'displayName': 'Harbour Arts Centre', 'lat': 55.6082318, 'lng': -4.6830323, 'metroArea': {'displayName': 'Glasgow', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24473-uk-glasgow?utm_source=47927&utm_medium=partner', 'id': 24473}, 'uri': 'http://www.songkick.com/venues/15131-harbour-arts-centre?utm_source=47927&utm_medium=partner', 'id': 15131}"
4,,"Hinds at SWG3 (April 15, 2018)",,32736119,"{'city': 'Glasgow, UK', 'lat': 55.8645936, 'lng': -4.2997005}","[{'displayName': 'Hinds', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Hinds', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:615ba4a9-e5d2-45dc-bf75-a1b444a33fc9.json', 'mbid': '615ba4a9-e5d2-45dc-bf75-a1b444a33fc9'}], 'uri': 'http://www.songkick.com/artists/8400833-hinds?utm_source=47927&utm_medium=partner', 'id': 8400833}, 'id': 63005789}]",0.01012,,"{'datetime': '2018-04-15T18:00:00+0100', 'time': '18:00:00', 'date': '2018-04-15'}",ok,Concert,http://www.songkick.com/concerts/32736119-hinds-at-swg3?utm_source=47927&utm_medium=partner,"{'displayName': 'SWG3', 'lat': 55.8645936, 'lng': -4.2997005, 'metroArea': {'displayName': 'Glasgow', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24473-uk-glasgow?utm_source=47927&utm_medium=partner', 'id': 24473}, 'uri': 'http://www.songkick.com/venues/1138256-swg3?utm_source=47927&utm_medium=partner', 'id': 1138256}"
5,,"Pillow Queens at Glad Café (April 15, 2018)",,32750274,"{'city': 'Glasgow, UK', 'lat': 55.8320351, 'lng': -4.2782406}","[{'displayName': 'Pillow Queens', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Pillow Queens', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:3329e0ce-14b6-4b51-b658-85f6392554a3.json', 'mbid': '3329e0ce-14b6-4b51-b658-85f6392554a3'}], 'uri': 'http://www.songkick.com/artists/2373650-pillow-queens?utm_source=47927&utm_medium=partner', 'id': 2373650}, 'id': 63032939}]",4.1e-05,,"{'datetime': '2018-04-15T19:30:00+0100', 'time': '19:30:00', 'date': '2018-04-15'}",ok,Concert,http://www.songkick.com/concerts/32750274-pillow-queens-at-glad-cafe?utm_source=47927&utm_medium=partner,"{'displayName': 'Glad Café', 'lat': 55.8320351, 'lng': -4.2782406, 'metroArea': {'displayName': 'Glasgow', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24473-uk-glasgow?utm_source=47927&utm_medium=partner', 'id': 24473}, 'uri': 'http://www.songkick.com/venues/1963359-glad-cafe?utm_source=47927&utm_medium=partner', 'id': 1963359}"
6,,"Sonic Jesus, Black Doldrums, and Black Cat Revue at Broadcast (April 15, 2018)",,32772669,"{'city': 'Glasgow, UK', 'lat': 55.866013, 'lng': -4.2691056}","[{'displayName': 'Sonic Jesus', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Sonic Jesus', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:8a3d5582-2ba0-4305-bc1c-22ad546d80df.json', 'mbid': '8a3d5582-2ba0-4305-bc1c-22ad546d80df'}], 'uri': 'http://www.songkick.com/artists/5843939-sonic-jesus?utm_source=47927&utm_medium=partner', 'id': 5843939}, 'id': 63072904}, {'displayName': 'Black Doldrums', 'billingIndex': 2, 'billing': 'headline', 'artist': {'displayName': 'Black Doldrums', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:e7749c58-3a4c-46d3-926d-70c8fd21dacc.json', 'mbid': 'e7749c58-3a4c-46d3-926d-70c8fd21dacc'}], 'uri': 'http://www.songkick.com/artists/8858139-black-doldrums?utm_source=47927&utm_medium=partner', 'id': 8858139}, 'id': 63867219}, {'displayName': 'Black Cat Revue', 'billingIndex': 3, 'billing': 'headline', 'artist': {'displayName': 'Black Cat Revue', 'identifier': [], 'uri': 'http://www.songkick.com/artists/8685534-black-cat-revue?utm_source=47927&utm_medium=partner', 'id': 8685534}, 'id': 63867224}]",0.000266,,"{'datetime': '2018-04-15T19:30:00+0100', 'time': '19:30:00', 'date': '2018-04-15'}",ok,Concert,http://www.songkick.com/concerts/32772669-sonic-jesus-at-broadcast?utm_source=47927&utm_medium=partner,"{'displayName': 'Broadcast', 'lat': 55.866013, 'lng': -4.2691056, 'metroArea': {'displayName': 'Glasgow', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24473-uk-glasgow?utm_source=47927&utm_medium=partner', 'id': 24473}, 'uri': 'http://www.songkick.com/venues/2045739-broadcast?utm_source=47927&utm_medium=partner', 'id': 2045739}"
7,,"Hara with Galaxy Thief at The Classic Grand (April 15, 2018)",,33287044,"{'city': 'Glasgow, UK', 'lat': 55.857895, 'lng': -4.2570064}","[{'displayName': 'Hara', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Hara', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:4242aa47-6c67-4416-aefd-089f1cbf8cfe.json', 'mbid': '4242aa47-6c67-4416-aefd-089f1cbf8cfe'}], 'uri': 'http://www.songkick.com/artists/537272-hara?utm_source=47927&utm_medium=partner', 'id': 537272}, 'id': 64016734}, {'displayName': 'Galaxy Thief', 'billingIndex': 2, 'billing': 'support', 'artist': {'displayName': 'Galaxy Thief', 'identifier': [], 'uri': 'http://www.songkick.com/artists/9220689-galaxy-thief?utm_source=47927&utm_medium=partner', 'id': 9220689}, 'id': 64016739}]",0.000135,,"{'datetime': '2018-04-15T14:00:00+0100', 'time': '14:00:00', 'date': '2018-04-15'}",ok,Concert,http://www.songkick.com/concerts/33287044-hara-at-classic-grand?utm_source=47927&utm_medium=partner,"{'displayName': 'The Classic Grand', 'lat': 55.857895, 'lng': -4.2570064, 'metroArea': {'displayName': 'Glasgow', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24473-uk-glasgow?utm_source=47927&utm_medium=partner', 'id': 24473}, 'uri': 'http://www.songkick.com/venues/3887-classic-grand?utm_source=47927&utm_medium=partner', 'id': 3887}"
8,,"Sapienn at King Tut's Wah Wah Hut (April 15, 2018)",,33513734,"{'city': 'Glasgow, UK', 'lat': 55.8624985, 'lng': -4.2653495}","[{'displayName': 'Sapienn', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Sapienn', 'identifier': [], 'uri': 'http://www.songkick.com/artists/8898804-sapienn?utm_source=47927&utm_medium=partner', 'id': 8898804}, 'id': 64425199}]",2e-06,,"{'datetime': '2018-04-15T16:00:00+0100', 'time': '16:00:00', 'date': '2018-04-15'}",ok,Concert,http://www.songkick.com/concerts/33513734-sapienn-at-king-tuts-wah-wah-hut?utm_source=47927&utm_medium=partner,"{'displayName': ""King Tut's Wah Wah Hut"", 'lat': 55.8624985, 'lng': -4.2653495, 'metroArea': {'displayName': 'Glasgow', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24473-uk-glasgow?utm_source=47927&utm_medium=partner', 'id': 24473}, 'uri': 'http://www.songkick.com/venues/7326-king-tuts-wah-wah-hut?utm_source=47927&utm_medium=partner', 'id': 7326}"
0,,"Arcade Fire at The SSE Hydro (April 16, 2018)",,30796349,"{'lat': 55.8608628, 'lng': -4.2881348, 'city': 'Glasgow, UK'}","[{'billingIndex': 1, 'billing': 'headline', 'artist': {'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:52074ba6-e495-4ef3-9bb4-0703888a9f68.json', 'mbid': '52074ba6-e495-4ef3-9bb4-0703888a9f68'}], 'uri': 'http://www.songkick.com/artists/66758-arcade-fire?utm_source=48067&utm_medium=partner', 'id': 66758, 'displayName': 'Arcade Fire'}, 'id': 59602394, 'displayName': 'Arcade Fire'}]",0.395675,,"{'datetime': '2018-04-16T18:30:00+0100', 'time': '18:30:00', 'date': '2018-04-16'}",ok,Concert,http://www.songkick.com/concerts/30796349-arcade-fire-at-sse-hydro?utm_source=48067&utm_medium=partner,"{'lat': 55.8608628, 'metroArea': {'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24473-uk-glasgow?utm_source=48067&utm_medium=partner', 'id': 24473, 'displayName': 'Glasgow'}, 'lng': -4.2881348, 'uri': 'http://www.songkick.com/venues/2443719-sse-hydro?utm_source=48067&utm_medium=partner', 'id': 2443719, 'displayName': 'The SSE Hydro'}"
1,,"The White Buffalo at O2 Academy Glasgow (April 16, 2018)",,30867749,"{'city': 'Glasgow, UK', 'lat': 55.8498428, 'lng': -4.2599613}","[{'displayName': 'The White Buffalo', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'The White Buffalo', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:2d1997f7-5cb9-43b0-80bf-9ff9555561ac.json', 'mbid': '2d1997f7-5cb9-43b0-80bf-9ff9555561ac'}, {'href': 'http://api.songkick.com/api/3.0/artists/mbid:a3f36ee1-c236-49eb-b598-078c788781d8.json', 'mbid': 'a3f36ee1-c236-49eb-b598-078c788781d8'}], 'uri': 'http://www.songkick.com/artists/139019-white-buffalo?utm_source=48067&utm_medium=partner', 'id': 139019}, 'id': 59729799}]",0.011435,,"{'datetime': '2018-04-16T19:00:00+0100', 'time': '19:00:00', 'date': '2018-04-16'}",ok,Concert,http://www.songkick.com/concerts/30867749-white-buffalo-at-o2-academy-glasgow?utm_source=48067&utm_medium=partner,"{'displayName': 'O2 Academy Glasgow', 'lat': 55.8498428, 'lng': -4.2599613, 'metroArea': {'displayName': 'Glasgow', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24473-uk-glasgow?utm_source=48067&utm_medium=partner', 'id': 24473}, 'uri': 'http://www.songkick.com/venues/38722-o2-academy-glasgow?utm_source=48067&utm_medium=partner', 'id': 38722}"
2,,"Barenaked Ladies with Boothby Graffoe at Old Fruitmarket (April 16, 2018)",,31514234,"{'city': 'Glasgow, UK', 'lat': 55.8582515, 'lng': -4.2457252}","[{'displayName': 'Barenaked Ladies', 'billingIndex': 1, 'billing': 'headline', 'artist': {'displayName': 'Barenaked Ladies', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:86e736b4-93e2-40ff-9e1c-fb7c63fef5f6.json', 'mbid': '86e736b4-93e2-40ff-9e1c-fb7c63fef5f6'}], 'uri': 'http://www.songkick.com/artists/199498-barenaked-ladies?utm_source=48067&utm_medium=partner', 'id': 199498}, 'id': 60880589}, {'displayName': 'Boothby Graffoe', 'billingIndex': 2, 'billing': 'support', 'artist': {'displayName': 'Boothby Graffoe', 'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:4dbf0e9c-105a-4e03-83e7-cb1a484f124c.json', 'mbid': '4dbf0e9c-105a-4e03-83e7-cb1a484f124c'}], 'uri': 'http://www.songkick.com/artists/2390773-boothby-graffoe?utm_source=48067&utm_medium=partner', 'id': 2390773}, 'id': 61941144}]",0.091502,,"{'datetime': '2018-04-16T19:00:00+0100', 'time': '19:00:00', 'date': '2018-04-16'}",ok,Concert,http://www.songkick.com/concerts/31514234-barenaked-ladies-at-old-fruitmarket?utm_source=48067&utm_medium=partner,"{'displayName': 'Old Fruitmarket', 'lat': 55.8582515, 'lng': -4.2457252, 'metroArea': {'displayName': 'Glasgow', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24473-uk-glasgow?utm_source=48067&utm_medium=partner', 'id': 24473}, 'uri': 'http://www.songkick.com/venues/4047-old-fruitmarket?utm_source=48067&utm_medium=partner', 'id': 4047}"
3,,"Daggermouth at The Garage (April 16, 2018)",,32374199,"{'city': 'Glasgow, UK', 'lat': 55.8661471, 'lng': -4.2687564}","[{'billing': 'headline', 'displayName': 'Daggermouth', 'artist': {'identifier': [{'href': 'http://api.songkick.com/api/3.0/artists/mbid:81f856c4-736b-4e54-b45b-c535855637e4.json', 'mbid': '81f856c4-736b-4e54-b45b-c535855637e4'}], 'displayName': 'Daggermouth', 'uri': 'http://www.songkick.com/artists/577741-daggermouth?utm_source=48067&utm_medium=partner', 'id': 577741}, 'billingIndex': 1, 'id': 62345079}]",0.000884,,"{'datetime': '2018-04-16T18:30:00+0100', 'time': '18:30:00', 'date': '2018-04-16'}",ok,Concert,http://www.songkick.com/concerts/32374199-daggermouth-at-garage?utm_source=48067&utm_medium=partner,"{'displayName': 'The Garage', 'lat': 55.8661471, 'lng': -4.2687564, 'uri': 'http://www.songkick.com/venues/17372-garage?utm_source=48067&utm_medium=partner', 'metroArea': {'displayName': 'Glasgow', 'country': {'displayName': 'UK'}, 'uri': 'http://www.songkick.com/metro_areas/24473-uk-glasgow?utm_source=48067&utm_medium=partner', 'id': 24473}, 'id': 17372}"
