id;date;datetime_source;id;name;popularity;type;date_name;lat;lng;popularity_median;followers_sum;danceability_median;energy_median;key_mode;loudness_median;mode_mode;speechiness_median;acousticness_median;instrumentalness_median;liveness_median;valence_median;duration_ms_mean;time_signature_mode
1126;22/4/2018 0:00;2018-04-22T14:00:00+0100;32592544;Hara with Galaxy Thief and Verse at O2 Academy 2 Islington (April 22, 2018);0.002043;Concert;Sunday;51.5345836;-0.1059202;13;92649;0.59;0.6915;[0];-6.429;[0];0.07815;0.176;0;0.1215;0.4755;224840.5417;[4]
1263;8/5/2018 0:00;2018-05-08T19:30:00+0100;31997939;Ahmad Jamal at Barbican Centre (May 8, 2018) (CANCELLED) ;0.007015;Concert;Tuesday;51.5198644;-0.0916989;48;41444;0.578;0.2875;[0];-16.537;[1];0.04125;0.6485;0.78;0.117;0.3825;305358.7;[4]
1322;9/5/2018 0:00;2018-05-09T19:30:00+0100;32709674;ionnalee and iamamiwhoami with Man Without Country and Tungorna at Heaven (May 9, 2018);0.010685;Concert;Wednesday;51.5079149;-0.1244919;39;110387;0.522;0.705;[11];-8.039;[0];0.0359;0.0161;0.137;0.119;0.199;270812.9459;[4]
1410;23/5/2018 0:00;2018-05-23T19:00:00+0100;31723229;ISLAND with Club Kuru at KOKO (May 23, 2018);0.00266;Concert;Wednesday;51.534617;-0.138338;51.5;675326;0.5735;0.742;[2];-5.6905;[1];0.09755;0.129;0.0003405;0.2155;0.516;186272.7;[4]
1481;24/5/2018 0:00;2018-05-24T19:00:00+0100;32183339;Turnover with Men I Trust at KOKO (May 24, 2018);0.009922;Concert;Thursday;51.534617;-0.138338;56;129591;0.6365;0.621;[5];-8.4835;[1];0.0334;0.323;0.06345;0.108;0.4285;216150.2;[4]
1507;24/5/2018 0:00;2018-05-24T19:30:00+0100;33187154;The Kite String Tangle with Mono Club at Oslo Hackney (May 24, 2018);0.014534;Concert;Thursday;51.5479818;-0.0575201;39.5;52176;0.547;0.69;[0];-7.008;[1];0.0435;0.128;0.000272;0.111;0.282;227610.7895;[4]
1633;25/5/2018 0:00;;33558609;Detroit Swindle at Phonox (May 25, 2018);0.004583;Concert;Friday;51.464399;-0.1146492;46;29971;0.823;0.731;[2];-9.5865;[0];0.0918;0.03155;0.1715;0.1985;0.3985;385933.7;[4]
1807;27/5/2018 0:00;2018-05-27T23:00:00+0100;33699669;Heartless Crew, DJ Luck & MC Neat, Wookie, Martin Larner, and 8 more… at fabric (May 27, 2018);0.005667;Concert;Sunday;51.5195531;-0.1024779;27;45629;0.606;0.658;[9];-8.799;[1];0.0514;0.0646;0.00419;0.118;0.5;321513.12;[4]
17;14/5/2018 0:00;2018-05-14T19:30:00+0100;33275189;Oshun at Ghost Notes (May 14, 2018);0.000913;Concert;Monday;51.4706807;-0.0675578;44;13915;0.5585;0.5195;[1];-8.5345;[1];0.265;0.1835;0;0.163;0.416;225884.3;[4]
48;15/5/2018 0:00;2018-05-15T19:00:00+0100;32653209;Mary Chapin Carpenter with Emily Barker at Barbican Centre (May 15, 2018);0.015776;Concert;Tuesday;51.5198644;-0.0916989;38;62489;0.6245;0.525;[9];-9.0355;[1];0.0354;0.556;5.56E-05;0.1105;0.605;234007.35;[4]
54;15/5/2018 0:00;2018-05-15T19:30:00+0100;32750344;Emily Barker at Barbican Centre (May 15, 2018) (CANCELLED) ;0.000825;Concert;Tuesday;51.5198644;-0.0916989;29;7251;0.619;0.269;[2];-9.691;[1];0.0324;0.5645;0.00011575;0.1135;0.272;227488;[4]
67;15/5/2018 0:00;2018-05-15T19:00:00+0100;33187144;Ruby Francis with WAYI at Servant Jazz Quarters (May 15, 2018);5.40E-05;Concert;Tuesday;51.5486354;-0.0767334;28;872;0.654;0.49;[0];-6.539;[0];0.103;0.152;0;0.113;0.596;217458.8182;[4]
