index_left;_id;date;datetime;id;lastfm;name;popularity;time;type;date_name;lat;lng;popularity_median;followers_sum;danceability_median;energy_median;key_mode;loudness_median;mode_mode;speechiness_median;acousticness_median;instrumentalness_median;liveness_median;valence_median;duration_ms_mean;time_signature_mode;geometry
962;5afaf0a9f4259d0004b0e807;19/4/2018 0:00;19/4/2018 22:00;32536469;{'listeners': [80793], 'listeners_sum': 80793, 'playcount': [762683], 'playcount_sum': 762683, 'tags': ['soul', 'Neo-Soul', 'electronica', 'r&b', 'rnb', 'Neo Soul', 'australian', 'australia', 'All', 'electronic']};Jordan Rakei at Ronnie Scott's (April 19, 2018);0.015033;23:00:00;Concert;Thursday;51.5134988;-0.131519;61;90512;0.6925;0.415;[0];-9.9745;[1];0.0564;0.2275;0.0003585;0.137;0.504;248856.9;[4];POINT (-0.131519 51.5134988)
997;5afaf10bf4259d0004b0e85c;19/4/2018 0:00;19/4/2018 18:00;33305604;{'listeners': [1400, 370133, 2053, 151], 'listeners_sum': 373737, 'playcount': [5682, 3681853, 7961, 487], 'playcount_sum': 3695983, 'tags': ['british', 'alternative', 'trance', 'electronic', 'Progressive House', 'progressive trance', 'electronica', 'dance', 'seen live', 'pop', 'chillout', 'House', 'seen live', 'love at first listen', 'indie', 'play it loud', 'Bloody great', 'makes me wanna dance', 'all of a sudden', 'espin', 'oxmox', 'deichbrand', 'the bedford']};Lewis Bootle with SANSHA, DIDI (UK), Gecko, and 1 more… at Courtyard Theatre (April 19, 2018);0.001394;19:00:00;Concert;Thursday;51.5280396;-0.0834422;17.5;5370;0.7065;0.575;[4];-7.9625;[1];0.08385;0.4715;1.31E-05;0.115;0.562;232062.5357;[4];POINT (-0.08344219999999999 51.5280396)
1144;5afaf2ebf4259d0004b0e9df;22/4/2018 0:00;22/4/2018 19:00;33356159;{'listeners': [5592], 'listeners_sum': 5592, 'playcount': [108561], 'playcount_sum': 108561, 'tags': ['turkish', 'easy listening', 'male vocal', 'yerli', 'ezginin gunlugu', 'turkish folk', 'Husnu Arkan']};Hüsnü Arkan at O2 Academy Islington (April 22, 2018);0.000289;20:00:00;Concert;Sunday;51.5345836;-0.1059202;44;35916;0.5275;0.395;[7];-10.954;[0];0.04235;0.6965;0.000159;0.1215;0.231;257495.8;[4];POINT (-0.1059202 51.5345836)
1166;5afaf343f4259d0004b0ea23;6/5/2018 0:00;6/5/2018 11:00;32686749;{'listeners': [273, 442498, 122749, 33286, 20277, 1238, 645674, 1370858, 136348, 298719, 22473, 23922, 15885], 'listeners_sum': 3134200, 'playcount': [850, 10062313, 1155340, 121065, 138803, 8761, 10588725, 23557753, 969373, 3548552, 324843, 412825, 85067], 'playcount_sum': 50974270, 'tags': ['lesser known yet streamable artists', 'Drum and bass', 'neurofunk', 'techstep', 'dnb', 'Drum n Bass', 'seen live', 'electronic', 'dubstep', 'darkstep', 'breakbeat', 'dubstep', 'Grime', 'electronic', 'dub', 'bass', 'seen live', 'UK', 'british', 'electronica', 'dmz', 'electro', 'minimal', 'electronic', 'House', 'idm', 'seen live', 'techno', 'electronica', 'dance', 'british', 'minimal', 'electronic', 'techno', 'minimal techno', 'synthpop', 'experimental', 'seen live', 'post-punk', 'darkwave', 'NDW', 'seen live', 'good grooves', 'funk', 'pop', 'chillout', 'dance', 'soul', 'british', 'dj', 'big chill 2008', 'electro', 'electronic', 'seen live', 'techno', 'german', 'electronica', 'House', 'dance', 'electro house', 'minimal', 'electronic', 'chillout', 'House', 'dance', 'electronica', 'seen live', 'trip-hop', 'downtempo', 'lounge', 'british', 'techno', 'electronic', 'minimal', 'electro', 'trance', 'seen live', 'german', 'electronica', 'minimal techno', 'cocoon', 'Hip-Hop', 'ninja tune', 'trip-hop', 'turntablism', 'electronic', 'seen live', 'hip hop', 'chillout', 'downtempo', 'electronica', 'rock', 'alternative rock', 'indie', 'aaron north', 'seen live', 'Lo-Fi', 'Hip-Hop', 'rap', 'russian', 'electronic', 'breakbeat', 'Drum and bass', 'breaks', 'liquid funk', 'Nu school breakbeat', 'dubstep', 'dub', 'electronic', 'reggae', 'british', 'Grime', 'electronic', 'bass', 'UK', 'All', 'seen live', 'british', 'rnb', 'ish', 'preditah']};DJ Q, Noisia, Digital Mystikz, Paul Woodford, and 9 more… at Queen Elizabeth Olympic Park (May 6, 2018);0.092687;12:00:00;Concert;Sunday;51.5432961;-0.0165517;47;742631;0.6955;0.754;[1];-7.478;[1];0.0599;0.0195;0.455;0.126;0.465;293939.7727;[4];POINT (-0.0165517 51.5432961)
1168;5afaf34af4259d0004b0ea2a;6/5/2018 0:00;6/5/2018 21:30;32769354;{'listeners': [184196], 'listeners_sum': 184196, 'playcount': [5790938], 'playcount_sum': 5790938, 'tags': ['instrumental hip-hop', 'Hip-Hop', 'electronic', 'beats', 'instrumental', 'seen live', 'french', 'hip hop', 'underground', 'instrumental hip hop']};Onra and A night in Cuba at The Jazz Cafe (May 6, 2018);0.011413;22:30:00;Concert;Sunday;51.5387092;-0.1430815;52;68287;0.5355;0.5935;[7];-6.834;[1];0.1195;0.0471;0.02645;0.2565;0.4275;142447.8;[4];POINT (-0.1430815 51.5387092)
1325;5afaf532f4259d0004b0ebaf;9/5/2018 0:00;9/5/2018 18:30;32767254;{'listeners': [174806], 'listeners_sum': 174806, 'playcount': [4475513], 'playcount_sum': 4475513, 'tags': ['post-rock', 'instrumental', 'experimental', 'ambient', 'post rock', 'psychedelic', 'seen live', 'Psychedelic Rock', 'Progressive rock', 'rock']};Grails at Bush Hall (May 9, 2018);0.003607;19:30:00;Concert;Wednesday;51.5062847;-0.2314873;37;17836;0.275;0.499;[5];-10.5965;[1];0.0336;0.3085;0.8995;0.1345;0.1165;308752.9;[4];POINT (-0.2314873 51.5062847)
1490;5afcd5424054df00043ae554;24/5/2018 0:00;24/5/2018 18:00;32730714;{'listeners': [140954], 'listeners_sum': 140954, 'playcount': [2783034], 'playcount_sum': 2783034, 'tags': ['acoustic', 'guitar', 'acoustic guitar', 'fingerpicking guitar', 'solo guitar', 'seen live', 'instrumental', 'guitar virtuoso', 'fingerstyle', 'folk']};Tommy Emmanuel at Union Chapel (May 24, 2018);0.006959;19:00:00;Concert;Thursday;51.5443277;-0.1028893;48;70714;0.604;0.3475;[6];-11.3215;[0];0.0384;0.7165;0.666;0.1135;0.5785;256790.4;[4];POINT (-0.1028893 51.5443277)
1534;5afcd5d04054df00043ae5be;24/5/2018 0:00;24/5/2018 18:00;33712029;{'listeners': [2739, 2548], 'listeners_sum': 5287, 'playcount': [7710, 4879], 'playcount_sum': 12589, 'tags': ['england', 'Yorkshire', 'doncaster', 'pop', 'british', 'english', 'under 100 listeners']};Skinny Pelembe and Mina Rose at Hoxton Square Bar & Kitchen (May 24, 2018);5.30E-05;19:00:00;Concert;Thursday;51.527476;-0.081657;29;1040;0.68;0.644;[7];-8.285;[0];0.0745;0.207;0.626;0.12;0.481;230668.8889;[4];POINT (-0.08165699999999999 51.527476)
1585;5aff786c84d273000431fe64;25/5/2018 0:00;25/5/2018 21:30;32654769;{'listeners': [77571, 176057], 'listeners_sum': 253628, 'playcount': [1131464, 1161514], 'playcount_sum': 2292978, 'tags': ['turntablism', 'Hip-Hop', 'seen live', 'hip hop', 'dj', 'electronica', 'electronic', 'hiphop', 'breakbeat', 'mash-up', 'Hip-Hop', 'hip hop', 'rap', 'native tongues', 'alternative rap', 'old school', 'new york', 'seen live', 'House', 'underground hip-hop']};DJ Yoda and Jungle Brothers at Electric Brixton (May 25, 2018);0.012809;22:30:00;Concert;Friday;51.4598359;-0.1170324;34.5;50904;0.8245;0.594;[10];-8.039;[1];0.2045;0.141;0.00014;0.117;0.6665;230972.75;[4];POINT (-0.1170324 51.4598359)
1617;5aff78d784d273000431feb4;25/5/2018 0:00;;33289774;{'listeners': [107829], 'listeners_sum': 107829, 'playcount': [856571], 'playcount_sum': 856571, 'tags': ['House', 'electronic', 'electronica', 'funky house', 'funk', 'seen live', 'deep house', 'funky', 'indie', 'Disco']};Gala 2018;0.012951;;Festival;Friday;51.5073509;-0.1277583;55;33644;0.787;0.718;[10];-7.6535;[0];0.04;0.05425;0.6785;0.07875;0.5835;346447.9;[4];POINT (-0.1277583 51.5073509)
