index_left;date;id;lat;lng
1713;26/5/2018 0:00;33450474;51.5073509;-0.1277583
1714;26/5/2018 0:00;33470649;51.5195531;-0.1024779
1717;26/5/2018 0:00;33508354;51.4698563;-0.0679964
1745;26/5/2018 0:00;33799554;51.5237877;-0.0780335
1751;26/5/2018 0:00;33835384;51.5439981;-0.0758803
1764;27/5/2018 0:00;31797554;51.6503243;-0.0810461
1798;27/5/2018 0:00;33468299;51.5387092;-0.1430815
1806;27/5/2018 0:00;33621429;51.5372495;-0.1004071
1807;27/5/2018 0:00;33699669;51.5195531;-0.1024779
1825;27/5/2018 0:00;33901944;51.5073509;-0.1277583
1892;29/5/2018 0:00;33453104;51.497496;-0.099585
2004;31/5/2018 0:00;33173949;51.5345836;-0.1059202
2023;31/5/2018 0:00;33713364;51.5487082;-0.0764992
2055;1/6/2018 0:00;32868514;51.5195531;-0.1024779
2065;1/6/2018 0:00;33191549;51.4784141;-0.1816679
2071;1/6/2018 0:00;33340884;51.5387092;-0.1430815
2084;1/6/2018 0:00;33558299;51.521245;-0.0718398
2103;1/6/2018 0:00;33881884;51.464399;-0.1146492
