id;_id;date;id;name;popularity;time;type;date_name;lat;lng;popularity_median;followers_sum;danceability_median;energy_median;key_mode;loudness_median;mode_mode;speechiness_median;acousticness_median;instrumentalness_median;liveness_median;valence_median;duration_ms_mean;time_signature_mode
1194;5afaf3a6f4259d0004b0ea6d;6/5/2018 0:00;33375389;Bad Company UK, Calyx & TeeBee, Rene Lavice, Culture Shock, and 11 more… at fabric (May 6, 2018);0.004811;23:00:00;Concert;Sunday;51.5195531;-0.1024779;29.5;80213;0.598;0.89;[1];-3.883;[1];0.0872;0.00337;0.1665;0.222;0.4065;271282.2143;[4]
1255;5afaf463f4259d0004b0eb0b;7/5/2018 0:00;33645629;Kofi with DJ Misbehaviour and Shortee Blitz at O2 Academy 2 Islington (May 7, 2018);0.00038;;Concert;Monday;51.5345836;-0.1059202;16;3557;0.843;0.661;[7];-4.578;[1];0.0816;0.242;4.84E-05;0.147;0.78;211126;[4]
1290;5afaf4d5f4259d0004b0eb64;8/5/2018 0:00;33523264;Las Manos De Filippi and BROCKER at Our Black Heart (May 8, 2018);0.000149;19:00:00;Concert;Tuesday;51.5387999;-0.1417646;18.5;16972;0.487;0.9135;[7];-4.156;[1];0.0974;0.0184;0;0.2025;0.6605;249963;[4]
1493;5afcd54a4054df00043ae55a;24/5/2018 0:00;32793699;Gente de Zona at O2 Shepherd's Bush Empire (May 24, 2018);0.031501;19:00:00;Concert;Thursday;51.503507;-0.2238407;76;822330;0.684;0.9045;[6];-3.973;[1];0.0698;0.115;0;0.165;0.767;203198.6;[4]
1628;5aff790884d273000431fed5;25/5/2018 0:00;33468414;Congo Natty, Daddy Freddy, Caspa, Jungle Warriors, and 9 more… at fabric (May 25, 2018);0.017112;23:00:00;Concert;Friday;51.5195531;-0.1024779;31;560333;0.717;0.823;[1];-6.1465;[1];0.09215;0.01095;0.00352;0.146;0.5035;318046.2447;[4]
1646;5aff793b84d273000431fefa;25/5/2018 0:00;33712034;The Drop, Ishmael Ensemble, Sounds of Harlowe, and Namiwa Jazz at Hootananny (May 25, 2018);0.000661;;Concert;Friday;51.4602601;-0.115572;11;2849;0.588;0.6125;[7];-8.546;[0];0.0699;0.04725;0.113;0.124;0.243;283794.9615;[4]
1676;5aff799184d273000431ff3b;26/5/2018 0:00;31734564;The Selecter and The Beat with Buzzcocks and Stiff Little Fingers at The Forum Hertfordshire (May 26, 2018);0.041061;17:00:00;Concert;Saturday;51.7549457;-0.2430261;49;7890625;0.448;0.77;[7];-9.065;[1];0.04935;0.03055;1.74E-05;0.1165;0.7005;207770.225;[4]
1762;5b00c8bd63800d0004c40d16;27/5/2018 0:00;31382944;New Town Kings with Call Me Malcolm at Suburbs (May 27, 2018);0.000483;19:00:00;Concert;Sunday;51.2501654;-0.5912318;23;3278;0.67;0.7765;[4];-5.2355;[0];0.0598;0.007875;4.04E-05;0.126;0.824;210515.55;[4]
1769;5b00c91963800d0004c40d47;27/5/2018 0:00;31994549;Black Roots at The Jazz Cafe (May 27, 2018);0.000689;19:00:00;Concert;Sunday;51.5387092;-0.1430815;;;;;;;;;;;;;;
1771;5b00c92163800d0004c40d4c;27/5/2018 0:00;32311719;Trojan Sound System, Don Letts, and Mad Professor at Electric Brixton (May 27, 2018);0.003938;22:30:00;Concert;Sunday;51.4598359;-0.1170324;9;28378;0.709;0.709;[9];-8.84;[0];0.0734;0.00216;0.000249;0.159;0.64;264590.9565;[4]
1819;5b00c9c363800d0004c40dbb;27/5/2018 0:00;33843639;Harbour Sharks at The Big Red (May 27, 2018);3.00E-06;19:00:00;Concert;Sunday;51.5579772;-0.1198271;3;63;0.576;0.944;[6];-3.6725;[1];0.0613;0.00402;0.01795;0.159;0.6085;184234.7;[4]
1826;5b00c9d863800d0004c40dc9;27/5/2018 0:00;33904714;Ed Solo with Deekline, Serial Killaz, and Benny Page at Brixton Jamm (May 27, 2018);0.003508;17:00:00;Concert;Sunday;51.47095;-0.1119528;41.5;43725;0.626;0.956;[7];-3.876;[1];0.05755;0.0009765;0.011875;0.10135;0.7675;298481.375;[4]
1849;5b021a5c6dc9fc00044e5f28;28/5/2018 0:00;32892904;Dennis Lloyd at The Waiting Room (May 28, 2018);0.001134;20:00:00;Concert;Monday;51.562052;-0.073771;79;62447;0.619;0.529;[10];-7.6775;[0];0.0651;0.4075;0;0.1165;0.27;184832.7;[4]
