osm_id,name,ref,type,oneway,bridge,maxspeed,WKT,x1,y1,x2,y2
28355569,Market Mews,,residential,0,0,,,528647.95,180200.92,528528.27,180185.44
28355619,Cavendish Mews South,,service,0,0,,,528918.97,181715.76,528889.89,181724.61
28509859,Devonshire Row Mews,,residential,0,0,,,528831.11,181910.93,528822.00,181910.93
28509860,Cleveland Mews,,service,1,0,20,,529202.57,181982.97,529260.94,181902.06
28509862,Cypress Place,,service,0,0,,,529333.44,182077.56,529391.06,181998.84
28531250,,,footway,0,0,,,530847.04,181445.11,530772.47,181405.51
28531255,,,footway,0,0,,,530640.71,181411.71,530675.22,181407.46
28531257,,,footway,0,0,,,530675.22,181361.29,530704.37,181353.68
28531258,,,footway,0,0,,,530782.12,181407.07,530803.92,181397.42
28921460,,,service,0,0,,,530662.37,181515.34,530702.74,181525.01
28921461,,,service,0,0,,,530692.75,181525.01,530714.01,181491.91
28921465,Sandland Street,,service,0,0,20,,530755.68,181692.15,530844.66,181702.25
28921470,,,service,0,0,,,530682.40,181743.75,530700.91,181704.11
28921471,,,service,0,0,,,530774.41,181804.87,530767.74,181804.87
28921472,Raymond Buildings,,unclassified,0,0,,,530851.04,181894.84,530842.03,181912.49
30038923,Weymouth Mews,,residential,0,0,,,528665.77,181823.58,528668.02,181823.58
30038924,Weymouth Mews,,residential,0,0,,,528670.75,181804.11,528690.03,181804.11
30038925,Weymouth Mews,,residential,0,0,,,528675.36,181793.62,528715.29,181793.62
30038926,Weymouth Mews,,residential,0,0,,,528669.22,181798.05,528715.54,181729.09
30038928,,,service,0,0,,,528715.29,181792.65,528720.87,181792.65
30038929,,,service,0,0,,,528734.63,181801.19,528750.50,181801.19
30131460,Windmill Street,,cycleway,0,0,,,529586.55,181655.64,529590.71,181655.64
30131461,Windmill Street,,unclassified,0,0,,,529590.71,181689.23,529642.62,181689.23
30131571,,,pedestrian,0,0,,,529448.57,181864.59,529448.57,181866.77
30131572,,,steps,0,0,,,529445.25,181864.59,529450.02,181864.59
30273083,Goodge Place,,residential,1,0,20,,529344.60,181702.53,529411.65,181681.12
30273084,Howland Mews East,,service,0,0,,,529391.06,181995.56,529424.91,181950.74
30273503,Cleveland Street,,tertiary,1,0,30,,529281.27,181762.31,529204.44,181858.33
30273505,Newman Street,,unclassified,1,0,,,529476.52,181459.02,529360.47,181646.43
30273507,Tottenham Street,,unclassified,1,0,20,,529392.42,181805.03,529522.11,181868.65
30275207,Alfred Place,,unclassified,1,0,20,,529608.78,181836.51,529690.16,181730.51
30275209,,,service,0,0,20,,529688.80,181709.68,529702.49,181709.68
